v_products_model,v_products_name_1,v_products_description_1,v_products_url_1,v_products_image,v_products_images_image_1,v_products_images_htmlcontent_1,v_products_images_image_2,v_products_images_htmlcontent_2,v_products_images_image_3,v_products_images_htmlcontent_3,v_products_images_image_4,v_products_images_htmlcontent_4,v_products_images_image_5,v_products_images_htmlcontent_5,v_products_images_image_6,v_products_images_htmlcontent_6,v_products_images_image_7,v_products_images_htmlcontent_7,v_products_price,v_products_specials_price,v_products_quantity,v_products_weight,v_date_avail,v_date_added,v_categories_image_1,v_categories_name_1_1,v_categories_image_2,v_categories_name_2_1,v_categories_image_3,v_categories_name_3_1,v_categories_image_4,v_categories_name_4_1,v_categories_image_5,v_categories_name_5_1,v_categories_image_6,v_categories_name_6_1,v_categories_image_7,v_categories_name_7_1,v_manufacturers_name,v_attribute_options_id_1,v_attribute_options_name_1_1,v_attribute_options_id_2,v_attribute_options_name_2_1,v_attribute_options_id_3,v_attribute_options_name_3_1,v_attribute_values_id_3_1,v_attribute_values_name_3_1_1,v_attribute_values_price_3_1,v_attribute_values_id_3_2,v_attribute_values_name_3_2_1,v_attribute_values_price_3_2,v_attribute_values_id_3_3,v_attribute_values_name_3_3_1,v_attribute_values_price_3_3,v_attribute_values_id_3_4,v_attribute_values_name_3_4_1,v_attribute_values_price_3_4,v_attribute_values_id_3_5,v_attribute_values_name_3_5_1,v_attribute_values_price_3_5,v_attribute_options_id_4,v_attribute_options_name_4_1,v_attribute_values_id_4_1,v_attribute_values_name_4_1_1,v_attribute_values_price_4_1,v_attribute_values_id_4_2,v_attribute_values_name_4_2_1,v_attribute_values_price_4_2,v_attribute_values_id_4_3,v_attribute_values_name_4_3_1,v_attribute_values_price_4_3,v_attribute_values_id_4_4,v_attribute_values_name_4_4_1,v_attribute_values_price_4_4,v_attribute_options_id_5,v_attribute_options_name_5_1,v_attribute_values_id_5_1,v_attribute_values_name_5_1_1,v_attribute_values_price_5_1,v_attribute_values_id_5_2,v_attribute_values_name_5_2_1,v_attribute_values_price_5_2,v_tax_class_title,v_status,EOREOR
MG200MMS,Matrox G200 MMS,"Reinforcing its position as a multi-monitor trailblazer, Matrox Graphics Inc. has once again developed the most flexible and highly advanced solution in the industry. Introducing the new Matrox G200 Multi-Monitor Series; the first graphics card ever to support up to four DVI digital flat panel displays on a single 8&quot; PCI board.<br /><br />With continuing demand for digital flat panels in the financial workplace, the Matrox G200 MMS is the ultimate in flexible solutions. The Matrox G200 MMS also supports the new digital video interface (DVI) created by the Digital Display Working Group (DDWG) designed to ease the adoption of digital flat panels. Other configurations include composite video capture ability and onboard TV tuner, making the Matrox G200 MMS the complete solution for business needs.<br /><br />Based on the award-winning MGA-G200 graphics chip, the Matrox G200 Multi-Monitor Series provides superior 2D/3D graphics acceleration to meet the demanding needs of business applications such as real-time stock quotes (Versus), live video feeds (Reuters &amp; Bloombergs), multiple windows applications, word processing, spreadsheets and CAD.",www.matrox.com/mga/products/g200_mms/home.cfm,matrox/mg200mms.gif,,,,,,,,,,,,,,,299.99,,31,23,,6/2/2014 10:30,category_hardware.gif,Hardware,subcategory_graphic_cards.gif,Graphics Cards,,,,,,,,,,,Matrox,1,Color,2,Size,3,Model,5,Value,0,6,Premium,100,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,0,2,8 mb,50,3,16 mb,70,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
MG400-32MB,Matrox G400 32MB,"<strong>Dramatically Different High Performance Graphics</strong><br /><br />Introducing the Millennium G400 Series - a dramatically different, high performance graphics experience. Armed with the industry's fastest graphics chip, the Millennium G400 Series takes explosive acceleration two steps further by adding unprecedented image quality, along with the most versatile display options for all your 3D, 2D and DVD applications. As the most powerful and innovative tools in your PC's arsenal, the Millennium G400 Series will not only change the way you see graphics, but will revolutionize the way you use your computer.<br /><br /><strong>Key features:</strong><ul><li>New Matrox G400 256-bit DualBus graphics chip</li><li>Explosive 3D, 2D and DVD performance</li><li>DualHead Display</li><li>Superior DVD and TV output</li><li>3D Environment-Mapped Bump Mapping</li><li>Vibrant Color Quality rendering </li><li>UltraSharp DAC of up to 360 MHz</li><li>3D Rendering Array Processor</li><li>Support for 16 or 32 MB of memory</li></ul>",www.matrox.com/mga/products/mill_g400/home.htm,matrox/mg400-32mb.gif,,,,,,,,,,,,,,,499.99,,32,23,,6/2/2014 10:30,category_hardware.gif,Hardware,subcategory_graphic_cards.gif,Graphics Cards,,,,,,,,,,,Matrox,1,Color,2,Size,3,Model,5,Value,,6,Premium,0,7,Deluxe,120,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,-10,4,32 mb,0,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
MSIMPRO,Microsoft IntelliMouse Pro,"Every element of IntelliMouse Pro - from its unique arched shape to the texture of the rubber grip around its base - is the product of extensive customer and ergonomic research. Microsoft's popular wheel control, which now allows zooming and universal scrolling functions, gives IntelliMouse Pro outstanding comfort and efficiency.",www.microsoft.com/hardware/mouse/intellimouse.asp,microsoft/msimpro.gif,,,,,,,,,,,,,,,49.99,39.99,2,7,,6/2/2014 10:30,category_hardware.gif,Hardware,subcategory_mice.gif,Mice,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-RPMK,The Replacement Killers,"Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br />Languages: English, Deutsch.<br />Subtitles: English, Deutsch, Spanish.<br />Audio: Dolby Surround 5.1.<br />Picture Format: 16:9 Wide-Screen.<br />Length: (approx) 80 minutes.<br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",www.replacement-killers.com,dvd/replacement_killers.gif,,,,,,,,,,,,,,,42,,12,23,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_action.gif,Action,,,,,,,,,,,Microsoft,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-BLDRNDC,Blade Runner - Director's Cut,"Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br />Languages: English, Deutsch.<br />Subtitles: English, Deutsch, Spanish.<br />Audio: Dolby Surround 5.1.<br />Picture Format: 16:9 Wide-Screen.<br />Length: (approx) 112 minutes.<br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",www.bladerunner.com,dvd/blade_runner.gif,,,,,,,,,,,,,,,35.99,30,17,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_science_fiction.gif,Science Fiction,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-MATR,The Matrix,"Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch. <br /> Audio: Dolby Surround. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 131 minutes. <br /> Other: Interactive Menus, Chapter Selection, Making Of.",www.thematrix.com,dvd/the_matrix.gif,,,,,,,,,,,,,,,39.99,30,10,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_action.gif,Action,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-YGEM,You've Got Mail,"Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch, Spanish. <br /> Subtitles: English, Deutsch, Spanish, French, Nordic, Polish. <br /> Audio: Dolby Digital 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 115 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",www.youvegotmail.com,dvd/youve_got_mail.gif,,,,,,,,,,,,,,,34.99,,10,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_comedy.gif,Comedy,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-ABUG,A Bug's Life,"Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Digital 5.1 / Dobly Surround Stereo. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 91 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",www.abugslife.com,dvd/a_bugs_life.gif,,,,,,,,,,,,,,,35.99,,10,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_cartoons.gif,Cartoons,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-UNSG,Under Siege,"Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 98 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",,dvd/under_siege.gif,,,,,,,,,,,,,,,29.99,,10,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_action.gif,Action,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
DVD-UNSG2,Under Siege 2 - Dark Territory,"Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 98 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).",,dvd/under_siege2.gif,,,,,,,,,,,,,,,29.99,,10,7,,6/2/2014 10:30,category_dvd_movies.gif,DVD Movies,subcategory_action.gif,Action,,,,,,,,,,,Warner,1,Color,2,Size,3,Model,5,Value,,6,Premium,,7,Deluxe,,8,PS/2,,9,USB,,4,Memory,1,4 mb,,2,8 mb,,3,16 mb,,4,32 mb,,5,Version,10,Download: Windows - English,,13,Box: Windows - English,,Taxable Goods,Active,EOREOR
